industry,loan_count,exposure,defaults,chargeoff_amount,exposure_share,count_share,chargeoff_rate_count,chargeoff_rate_dollar
Accommodation & Food Services,133403,51016972299.83,16373,3659653996.78,0.1773,0.1227,0.1227,0.0717
Retail Trade,174624,44184740541.17,24874,3639054190.11,0.1535,0.1606,0.1424,0.0824
Manufacturing,87762,30300253207.75,9328,1945051096.69,0.1053,0.0807,0.1063,0.0642
Health Care & Social Assistance,87527,29594155572.16,5924,1248399093.22,0.1028,0.0805,0.0677,0.0422
Other Services (except Public Admin),104527,24273710552.32,12883,1791361150.36,0.0843,0.0962,0.1233,0.0738
"Professional, Scientific & Technical Services",104993,20386618738.0,11936,1209749825.69,0.0708,0.0966,0.1137,0.0593
Wholesale Trade,60185,18560484004.66,8907,1192667285.04,0.0645,0.0554,0.148,0.0643
Construction,104884,17071750630.0,14342,1570477519.57,0.0593,0.0965,0.1367,0.092
"Arts, Entertainment & Recreation",26375,8271858273.0,3307,636002732.76,0.0287,0.0243,0.1254,0.0769
Administrative & Waste Management Services,53337,8128157580.76,6916,653892996.36,0.0282,0.0491,0.1297,0.0804
