industry,loan_count,defaults,exposure,chargeoff_amount,chargeoff_rate_count,chargeoff_rate_dollar
Public Administration,184,33,28267100.0,1576490.46,0.1793,0.0558
Real Estate & Rental & Leasing,23104,3464,7250414765.0,360289756.52,0.1499,0.0497
Information,15692,2351,3029825056.0,230736224.91,0.1498,0.0762
Wholesale Trade,60185,8907,18560484004.66,1192667285.04,0.148,0.0643
Retail Trade,174624,24874,44184740541.17,3639054190.11,0.1424,0.0824
Construction,104884,14342,17071750630.0,1570477519.57,0.1367,0.092
Transportation & Warehousing,46449,6271,7314109785.0,532472463.64,0.135,0.0728
Finance & Insurance,17513,2299,4041192103.0,191123392.21,0.1313,0.0473
Administrative & Waste Management Services,53337,6916,8128157580.76,653892996.36,0.1297,0.0804
"Arts, Entertainment & Recreation",26375,3307,8271858273.0,636002732.76,0.1254,0.0769
Other Services (except Public Admin),104527,12883,24273710552.32,1791361150.36,0.1233,0.0738
Accommodation & Food Services,133403,16373,51016972299.83,3659653996.78,0.1227,0.0717
Educational Services,13409,1586,3062940052.0,184436575.34,0.1183,0.0602
"Professional, Scientific & Technical Services",104993,11936,20386618738.0,1209749825.69,0.1137,0.0593
Manufacturing,87762,9328,30300253207.75,1945051096.69,0.1063,0.0642
Utilities,895,91,211389371.0,10234122.26,0.1017,0.0484
"Mining, Quarrying, Oil & Gas Extraction",2494,187,1016327530.0,55236967.74,0.075,0.0543
Health Care & Social Assistance,87527,5924,29594155572.16,1248399093.22,0.0677,0.0422
Management of Companies & Enterprises,469,29,212727550.0,3122335.4499999997,0.0618,0.0147
"Agriculture, Forestry, Fishing & Hunting",12271,742,5974953088.0,247307660.42,0.0605,0.0414
Unknown / Unclassified,16922,819,3878162785.0,415455170.78,0.0484,0.1071
