vintage,loan_count,defaults,exposure,chargeoff_amount,chargeoff_rate_count,chargeoff_rate_dollar,fully_seasoned
2000,37600,1759,8999368959.0,850500809.05,0.0468,0.0945,True
2001,37323,2179,8550459826.48,772684988.32,0.0584,0.0904,True
2002,45184,3103,10567876861.9,769553646.19,0.0687,0.0728,True
2003,59119,5560,9689071159.0,724293690.23,0.094,0.0748,True
2004,71283,8735,11770580676.0,1041689246.45,0.1225,0.0885,True
2005,84436,14876,13208150176.01,1831063979.51,0.1762,0.1386,True
2006,86570,21002,12751558736.0,2606531287.56,0.2426,0.2044,True
2007,88270,25436,12578498065.33,3099102893.74,0.2882,0.2464,True
2008,61636,14901,11102683803.27,2125238300.99,0.2418,0.1914,True
2009,36636,4262,8138347278.66,675490993.3,0.1163,0.083,True
2010,39913,2886,10185348000.0,494749578.21,0.0723,0.0486,True
2011,45628,2571,16247328300.0,538749669.38,0.0563,0.0332,True
2012,38889,2059,13256492000.0,405886657.75,0.0529,0.0306,True
2013,40416,2102,15492120600.0,424659568.72,0.052,0.0274,True
2014,45962,2680,16871102500.0,482165000.26,0.0583,0.0286,True
2015,55421,3548,20370589100.0,619926490.98,0.064,0.0304,True
2016,56789,3892,21621109443.0,617277791.9,0.0685,0.0285,False
2017,56079,4156,23048544700.0,670022299.7,0.0741,0.0291,False
2018,54195,4101,22807991900.0,605375751.43,0.0757,0.0265,False
2019,45670,2854,20551788500.0,423338402.64,0.0625,0.0206,False
