vintage,MOB_006,MOB_012,MOB_018,MOB_024,MOB_036,MOB_048,MOB_060,MOB_072,MOB_084,MOB_096,MOB_120
2000,0.0,0.0,0.0001,0.0003,0.0014,0.0046,0.0078,0.0139,0.0235,0.0273,0.0352
2001,0.0,0.0,0.0,0.0003,0.0034,0.0071,0.0136,0.0269,0.0325,0.0389,0.0469
2002,0.0,0.0,0.0003,0.0018,0.0049,0.0123,0.025,0.0316,0.0403,0.0472,0.0563
2003,0.0,0.001,0.0032,0.0059,0.0159,0.0282,0.0403,0.0532,0.0656,0.078,0.084
2004,0.0,0.0008,0.0041,0.009,0.0208,0.0366,0.0546,0.0752,0.0958,0.1048,0.1111
2005,0.0,0.0011,0.0056,0.0115,0.0309,0.0569,0.0892,0.1274,0.1445,0.1534,0.164
2006,0.0,0.0014,0.008,0.0235,0.0594,0.1083,0.1702,0.1954,0.2088,0.219,0.2328
2007,0.0,0.0034,0.0203,0.0425,0.1017,0.1839,0.2215,0.2402,0.2549,0.2654,0.28
2008,0.0,0.003,0.0167,0.0382,0.1051,0.1538,0.177,0.1938,0.2079,0.222,0.2333
2009,0.0,0.0009,0.0049,0.0157,0.0429,0.0584,0.0707,0.083,0.0942,0.1008,0.1098
2010,0.0,0.0003,0.0034,0.01,0.0201,0.0298,0.0401,0.0496,0.0554,0.0612,0.0678
2011,0.0,0.0004,0.0021,0.0053,0.0133,0.0218,0.0291,0.0354,0.0415,0.047,0.0515
2012,0.0,0.0002,0.0013,0.004,0.0115,0.0191,0.0257,0.0336,0.0401,0.0444,0.0487
2013,0.0,0.0004,0.0017,0.004,0.0101,0.0177,0.0248,0.0332,0.0386,0.0422,0.0483
2014,0.0,0.0006,0.0023,0.005,0.0116,0.0214,0.0303,0.0382,0.0434,0.0493,0.0554
2015,0.0,0.0005,0.0019,0.0045,0.0143,0.0261,0.035,0.0414,0.0504,0.0565,0.0623
2016,0.0,0.0004,0.0026,0.007,0.0187,0.0284,0.0366,0.0473,0.0554,0.0619,
2017,0.0,0.0004,0.0029,0.0076,0.0178,0.0279,0.0419,0.0527,0.0605,0.0695,
2018,0.0,0.0011,0.0039,0.0084,0.0163,0.0314,0.0459,0.0572,0.0671,,
2019,0.0,0.0006,0.002,0.0042,0.0152,0.0272,0.039,0.0513,,,
