industry,vintage,size_band,loan_count,defaults,exposure,chargeoff_rate,portfolio_rate,rate_multiple,severity
Real Estate & Rental & Leasing,2007,<=50k,1978,838,55259100.0,0.4237,0.1346,3.15,High
Wholesale Trade,2007,<=50k,2763,1066,83956535.0,0.3858,0.1346,2.87,High
Wholesale Trade,2008,<=50k,1590,591,49093100.0,0.3717,0.1346,2.76,High
Finance & Insurance,2007,<=50k,1308,484,36247800.0,0.37,0.1346,2.75,High
Wholesale Trade,2007,50k-150k,1198,432,119134050.0,0.3606,0.1346,2.68,High
Real Estate & Rental & Leasing,2007,50k-150k,379,133,36083000.0,0.3509,0.1346,2.61,High
Wholesale Trade,2006,50k-150k,1245,431,124140988.0,0.3462,0.1346,2.57,High
Finance & Insurance,2007,50k-150k,258,89,24700300.0,0.345,0.1346,2.56,High
Real Estate & Rental & Leasing,2006,50k-150k,352,120,34111700.0,0.3409,0.1346,2.53,High
Real Estate & Rental & Leasing,2008,<=50k,959,327,26052200.0,0.341,0.1346,2.53,High
Retail Trade,2007,<=50k,9020,3029,242645870.0,0.3358,0.1346,2.5,High
Real Estate & Rental & Leasing,2006,<=50k,1437,481,39266565.0,0.3347,0.1346,2.49,High
Construction,2007,<=50k,6924,2252,196729609.0,0.3252,0.1346,2.42,High
Finance & Insurance,2008,<=50k,716,232,19998100.0,0.324,0.1346,2.41,High
Information,2008,<=50k,676,219,16649200.0,0.324,0.1346,2.41,High
Transportation & Warehousing,2007,<=50k,3043,987,75825098.0,0.3244,0.1346,2.41,High
Wholesale Trade,2006,<=50k,2774,897,81457300.0,0.3234,0.1346,2.4,High
Information,2007,<=50k,1094,352,28470030.0,0.3218,0.1346,2.39,High
"Arts, Entertainment & Recreation",2007,<=50k,1019,324,24921300.0,0.318,0.1346,2.36,High
Construction,2007,50k-150k,1731,543,164538720.0,0.3137,0.1346,2.33,High
Retail Trade,2008,<=50k,5521,1711,150103125.0,0.3099,0.1346,2.3,High
Finance & Insurance,2006,<=50k,1115,342,30874300.0,0.3067,0.1346,2.28,High
Administrative & Waste Management Services,2007,<=50k,3502,1067,86087800.0,0.3047,0.1346,2.26,High
Administrative & Waste Management Services,2007,50k-150k,787,238,75799975.0,0.3024,0.1346,2.25,High
