industry,loan_count,problem_count,problem_exposure,defaults,problem_rate,chargeoff_rate
"Arts, Entertainment & Recreation",26375,425,351127416.0,3307,0.0161,0.1254
Utilities,895,14,6132600.0,91,0.0156,0.1017
Accommodation & Food Services,133403,1862,1506649166.0,16373,0.014,0.1227
Transportation & Warehousing,46449,496,260479000.0,6271,0.0107,0.135
Manufacturing,87762,934,841956174.0,9328,0.0106,0.1063
"Mining, Quarrying, Oil & Gas Extraction",2494,26,56758300.0,187,0.0104,0.075
"Agriculture, Forestry, Fishing & Hunting",12271,124,128924319.0,742,0.0101,0.0605
Educational Services,13409,121,78486600.0,1586,0.009,0.1183
Real Estate & Rental & Leasing,23104,205,131509500.0,3464,0.0089,0.1499
Other Services (except Public Admin),104527,901,531107100.0,12883,0.0086,0.1233
Health Care & Social Assistance,87527,757,540456100.0,5924,0.0086,0.0677
Management of Companies & Enterprises,469,4,6300500.0,29,0.0085,0.0618
Construction,104884,871,404820500.0,14342,0.0083,0.1367
Administrative & Waste Management Services,53337,423,195106200.0,6916,0.0079,0.1297
Information,15692,120,79490800.0,2351,0.0076,0.1498
Wholesale Trade,60185,453,283155700.0,8907,0.0075,0.148
Retail Trade,174624,1309,756942200.0,24874,0.0075,0.1424
"Professional, Scientific & Technical Services",104993,648,321821023.0,11936,0.0062,0.1137
Finance & Insurance,17513,104,39725100.0,2299,0.0059,0.1313
Unknown / Unclassified,16922,8,2513000.0,819,0.0005,0.0484
Public Administration,184,0,0.0,33,0.0,0.1793
